sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
19,Naked barley white (Uwa),100.0,10.9,12.6,1.6,70.5,2.1,2.3,346.0,25.0,,4.1,,,,,,4
20,Naked barley black (Uwa),100.0,12.1,10.4,1.75,70.9,2.3,2.5,340.0,20.3,,7.5,,,,,,4
21,Uwa flour,100.0,7.17,9.6,2.6,76.7,1.9,2.0,369.0,,,1.4,,,,,,4
22,Oatmeal,100.0,10.7,13.6,7.6,62.8,1.8,3.5,374.0,50.0,380.0,3.8,0.0,,0.98,0.16,1.1,4
23,Rice Parboiled (hand pounded),100.0,12.6,8.5,0.6,77.4,0.9,1.5,349.0,10.0,280.0,2.8,9.0,0.0,0.27,0.12,4.0,4
24,Rice (raw) (Milled),100.0,13.7,6.8,0.5,78.2,0.6,0.2,345.0,10.0,160.0,0.7,0.0,0.0,0.21,0.06,1.9,4
25,Rice (Raw) (Handpounded),100.0,13.3,7.5,1.0,76.7,0.9,0.6,346.0,10.0,190.0,3.2,2.0,0.0,0.21,0.16,3.9,4
26,Rice flakes,100.0,12.2,6.6,1.2,77.3,2.0,0.7,346.0,20.0,238.0,20.0,0.0,0.0,0.05,0.05,4.0,4
27,Rice parboiled (Milled),100.0,13.3,6.4,0.4,79.0,0.7,0.2,345.0,9.0,143.0,1.0,,0.0,0.21,0.05,3.8,4
28,Rice Puff,100.0,14.7,7.5,0.1,73.6,3.8,0.3,325.0,23.0,150.0,6.6,0.0,0.0,0.21,0.01,4.0,4
29,Rice bran,,11.0,13.5,16.2,48.4,6.6,4.3,393.0,67.0,1410.0,35.0,,0.0,2.7,0.48,29.8,4
30,Semolina,100.0,,10.4,0.8,74.8,,0.2,348.0,16.0,102.0,1.6,,,0.21,0.03,,4
31,Sorghum,100.0,14.3,7.6,2.4,74.7,1.0,0.6,357.0,17.0,196.0,3.6,0.0,0.0,0.1,0.03,3.0,4
32,Sarvottam pitho (lito),100.0,2.68,21.29,10.84,61.7,3.08,0.4,427.0,22.5,49.0,4.3,,,,,,1
33,Taichin beaten rice,100.0,10.89,7.68,1.94,77.9,1.08,0.56,360.0,19.11,109.3,,,,,,,4
34,Vermicelli,100.0,11.7,8.7,0.4,78.3,0.7,0.2,352.0,22.0,92.0,2.0,,,0.19,0.05,1.8,4
35,Varagu,,12.9,6.7,0.7,67.0,2.8,3.1,310.0,,,,,,,,,4
